Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",C_Rect_L4.6mm_W3.0mm_P2.50mm_MKS02_FKP02,4,100nF,
"D1, D2, D3, D4, D5, D6, D7, D8",LED_D3.0mm,8,LED,
J1,"Phoenix Contact SPTA 1 5-3,5 - PCB terminal block",1,24V,
J10,"Phoenix Contact LPTA 2,5 3-5,0 - PCB terminal block",1,24V_BIG,
J2,"Phoenix Contact SPTA 1 5-3,5 - PCB terminal block",1,GND,
J3,"Phoenix Contact MSTB 2,5 2-GF-5,08 - PCB header",1,Power In,
J4,"Phoenix Contact SPTA 1 4-3,5 - PCB terminal block",1,Output,
J5,"Phoenix Contact SPTA 1 4-5,0 - PCB terminal block",1,Digital Input,
J6,"Phoenix Contact SPTA 1 5-3,5 - PCB terminal block",1,5V,
J7,"Phoenix Contact SPTA 1 5-3,5 - PCB terminal block",1,12V,
J8,"Phoenix Contact SPTA 1 5-3,5 - PCB terminal block",1,NC,
J9,"Phoenix Contact LPTA 2,5 3-5,0 - PCB terminal block",1,GND_BIG,
"Q1, Q2, Q3, Q4",TO-92_Inline_Wide,4,2N3904,
"R1, R12, R16, R17, R2, R25, R26, R27, R4, R5, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,12,2k2,
"R10, R13, R15, R28",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,100k,
"R11, R14, R18, R19, R20, R21, R6, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,8,10k,
"R22, R23, R24, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,470,
"SW1, SW10, SW2, SW3",SW_Cherry_MX_1.00u_PCB,4,SW_Push,
"SW4, SW5, SW7, SW9",PinHeader_1x02_P2.54mm_Vertical,4,SW_SPDT,
"SW6, SW8",DIP-8_W7.62mm,2,SW_DIP_x04,
U1,Converter_DCDC_RECOM_R-78E-0.5_THT,1,R-78E5.0-1.0,
U2,SN74AC14N,1,SN74AC14N,
U3,Converter_DCDC_RECOM_R-78E-0.5_THT,1,R-78E12-1.0/X9,
