"#","QUANTITY","PART NUMBER","MANUFACTURER PART NUMBER","DESCRIPTION","CUSTOMER REFERENCE","BACKORDER","UNIT PRICE","EXTENDED PRICE"
"1","5","945-2201-ND","R-78E5.0-1.0","DC DC CONVERTER 5V 5W","","0","3,65800","18,29"
"2","50","732-5012-ND","151033GS03000","LED GREEN CLEAR 3MM ROUND T/H","","0","0,21520","10,76"
"3","5","296-4301-5-ND","SN74AC14N","IC INVERT SCHMITT 6CH 6IN 14DIP","","0","0,51000","2,55"
"4","5","945-R-78E12-1.0/X9-ND","R-78E12-1.0/X9","DC DC CONVERTER 12V","","0","3,68200","18,41"
"5","5","277-7681-ND","1752120","TERM BLOCK 4POS 25DEG 3.5MM PCB","","0","2,20000","11,00"
"6","5","277-5741-ND","1776508","TERM BLOCK HDR 2POS 90DEG 5.08MM","","0","1,78000","8,90"
"7","100","2N3904FS-ND","2N3904BU","TRANS NPN 40V 0.2A TO92-3","","0","0,08240","8,24"
"8","25","2449-ANT11SECQE-ND","ANT11SECQE","SWITCH TOGGLE SPDT 5A 120V","","0","1,50480","37,62"
"9","10","732-3834-5-ND","418117270904","SWITCH SLIDE DIP SPST 0.025A 24V","","0","1,01600","10,16"
"10","5","277-5710-ND","1777989","TERM BLOCK PLUG 2POS STR 5.08MM","","0","2,19000","10,95"
"11","10","277-1190364-ND","1190364","PCB TERMINAL BLOCK, NOMINAL CURR","","0","1,67900","16,79"
"12","5","277-13913-ND","1752230","TERM BLOCK 4POS 25DEG 5MM PCB","","0","2,20000","11,00"
"13","25","277-8669-ND","1752133","TERM BLOCK 5POS 25DEG 3.5MM PCB","","0","2,15800","53,95"
"14","50","56-K104K15X7RF5UL2CT-ND","K104K15X7RF5UL2","CAP CER 0.1UF 50V X7R RADIAL","","0","0,07280","3,64"
"15","100","RNF14FTD10K0CT-ND","RNF14FTD10K0","RES 10K OHM 1% 1/4W AXIAL","","0","0,03000","3,00"
"16","100","RNF14FTD100KCT-ND","RNF14FTD100K","RES 100K OHM 1% 1/4W AXIAL","","0","0,03000","3,00"
"17","100","S2.2KCACT-ND","RNMF14FTC2K20","RES 2.2K OHM 1% 1/4W AXIAL","","0","0,03010","3,01"
"18","100","RNF14FTD470RCT-ND","RNF14FTD470R","RES 470 OHM 1% 1/4W AXIAL","","0","0,03000","3,00"
